user_id,event_id,interaction_score
3,6,1
3,41,1
3,42,1
65,4,1
65,6,1
65,21,1
65,40,1
65,41,3
66,7,1
66,9,1
66,10,1
66,12,1
66,21,1
66,23,1
66,25,1
66,28,1
66,30,1
66,31,1
66,38,1
66,39,1
66,40,1
66,42,1
66,46,1
66,47,1
66,48,1
66,50,1
66,51,1
66,52,1
66,53,1
66,54,1
66,55,1
66,57,1
74,17,2
74,19,2
74,20,2
74,21,3
74,28,1
74,29,3
77,4,1
77,6,3
77,8,3
77,15,1
77,16,1
77,17,1
77,18,1
77,19,1
77,20,3
77,21,3
77,22,3
77,26,3
77,28,1
77,29,3
77,30,3
77,31,3
77,32,2
77,33,1
77,34,1
77,36,1
77,37,1
77,40,3
77,41,3
77,42,1
77,43,2
77,47,1
77,55,1
78,21,1
79,22,1
79,47,1
